date,meantemp,humidity,wind_speed,meanpressure,year,month,day,dayofweek,quarter,is_weekend,humidity_pressure_ratio,temp_diff,pressure_diff,humidity_diff,meantemp_rolling_3,meantemp_rolling_7,humidity_rolling_3,humidity_rolling_7,wind_speed_rolling_3,wind_speed_rolling_7,meanpressure_rolling_3,meanpressure_rolling_7,temp_category
2013-01-01,10.0,84.5,0.0,1015.6666666666666,2013,1,1,1,1,0,0.08319658680669512,0.0,0.0,0.0,10.0,10.0,84.5,84.5,0.0,0.0,1015.6666666666666,1015.6666666666666,cold
2013-01-02,7.4,92.0,2.98,1017.8,2013,1,2,2,1,0,0.09039103949695422,-2.5999999999999996,2.1333333333333258,7.5,8.7,8.7,88.25,88.25,1.49,1.49,1016.7333333333333,1016.7333333333333,cold
2013-01-03,7.166666666666667,87.0,4.633333333333334,1018.6666666666666,2013,1,3,3,1,0,0.08540575916230367,-0.2333333333333334,0.8666666666666742,-5.0,8.188888888888888,8.188888888888888,87.83333333333333,87.83333333333333,2.537777777777778,2.537777777777778,1017.3777777777777,1017.3777777777777,cold
2013-01-04,8.666666666666666,71.33333333333333,1.2333333333333334,1017.1666666666666,2013,1,4,4,1,0,0.07012944453547436,1.4999999999999991,-1.5,-15.666666666666671,7.7444444444444445,8.308333333333334,83.44444444444444,83.70833333333333,2.9488888888888893,2.211666666666667,1017.8777777777777,1017.3249999999999,cold
2013-01-05,6.0,86.83333333333333,3.7,1016.5,2013,1,5,5,1,1,0.08542383997376618,-2.666666666666666,-0.6666666666666288,15.5,7.277777777777779,7.846666666666667,81.72222222222221,84.33333333333333,3.1888888888888887,2.509333333333333,1017.4444444444443,1017.1600000000001,cold
2013-01-06,7.0,82.8,1.48,1018.0,2013,1,6,6,1,1,0.08133595284872298,1.0,1.5,-4.033333333333331,7.222222222222221,7.705555555555556,80.32222222222221,84.07777777777777,2.137777777777778,2.3377777777777777,1017.2222222222222,1017.3000000000001,cold
2013-01-07,7.0,78.6,6.3,1020.0,2013,1,7,0,1,0,0.07705882352941176,0.0,2.0,-4.200000000000003,6.666666666666667,7.604761904761905,82.74444444444445,83.29523809523809,3.8266666666666667,2.903809523809524,1018.1666666666666,1017.6857142857143,cold
2013-01-08,8.857142857142858,63.71428571428572,7.142857142857143,1018.7142857142856,2013,1,8,1,1,0,0.06254382274575798,1.8571428571428577,-1.2857142857144481,-14.885714285714272,7.61904761904762,7.441496598639456,75.03809523809524,80.32585034013606,4.974285714285714,3.92421768707483,1018.9047619047619,1018.1210884353741,cold
2013-01-09,14.0,51.25,12.5,1017.0,2013,1,9,2,1,0,0.05039331366764995,5.142857142857142,-1.7142857142855519,-12.464285714285722,9.952380952380954,8.384353741496598,64.52142857142856,74.50442176870749,8.647619047619047,5.28421768707483,1018.5714285714286,1018.0068027210884,cold
2013-01-10,11.0,62.0,7.399999999999999,1015.6666666666666,2013,1,10,3,1,0,0.06104364949130292,-3.0,-1.3333333333333712,10.75,11.285714285714286,8.931972789115646,58.98809523809524,70.93299319727892,9.014285714285714,5.6794557823129255,1017.1269841269841,1017.5782312925169,cold
2013-01-11,15.714285714285714,51.285714285714285,10.571428571428571,1016.1428571428572,2013,1,11,4,1,0,0.05047096864895262,4.7142857142857135,0.4761904761905953,-10.714285714285715,13.571428571428571,9.938775510204081,54.845238095238095,68.06904761904762,10.157142857142857,7.0134693877551015,1016.2698412698413,1017.4319727891155,mild
2013-01-12,14.0,74.0,13.228571428571428,1015.5714285714286,2013,1,12,5,1,1,0.07286538191025461,-1.7142857142857135,-0.5714285714286689,22.714285714285715,13.571428571428571,11.081632653061224,62.42857142857142,66.23571428571428,10.399999999999999,8.374693877551021,1015.7936507936507,1017.2993197278911,cold
